Fecha,Último,Apertura,Máximo,Mínimo,Vol,% var,,,,
Sep 2019,17620,17540,17640,17400,-,0.23%,,,,
Ago 2019,17580,17400,17600,17100,10.96M,1.03%,,,,
Jul 2019,17400,16600,17700,16500,12.05M,4.32%,,,,
Jun 2019,16680,14100,16800,13760,13.66M,18.30%,,,,
May 2019,14100,14480,14680,13500,6.73M,-2.76%,,,,
Abr 2019,14500,14600,14900,13760,5.80M,-0.14%,,,,
Mar 2019,14520,14760,15380,13880,8.89M,-0.55%,,,,
Feb 2019,14600,14120,14920,13900,5.78M,3.55%,,,,
Ene 2019,14100,12420,14160,12000,6.55M,13.71%,,,,
Dic 2018,12400,13460,13460,11920,9.70M,-6.91%,,,,
Nov 2018,13320,13880,14740,12240,7.73M,-4.17%,,,,
Oct 2018,13900,14820,14940,13380,5.63M,-4.66%,,,,
Sep 2018,14580,15860,15860,14000,5.05M,-8.07%,,,,
Ago 2018,15860,16240,16380,15800,4.35M,-2.34%,,,,
Jul 2018,16240,16200,16420,15960,6.92M,0.25%,,,,
Jun 2018,16200,16480,16860,15900,5.17M,-1.82%,,,,
May 2018,16500,16980,17220,15400,6.95M,-2.71%,,,,
Abr 2018,16960,16340,16960,15600,9.01M,2.91%,,,,
Mar 2018,16480,16780,17140,15820,9.74M,-1.79%,,,,
Feb 2018,16780,17900,18740,16520,10.66M,-6.15%,,,,
Ene 2018,17880,16500,18580,16040,10.19M,7.97%,,,,
Dic 2017,16560,16380,16700,16300,13.58M,1.10%,,,,
Nov 2017,16380,16340,16760,16040,6.45M,0.24%,,,,
Oct 2017,16340,15460,16460,15420,9.83M,5.69%,,,,
Máximo: 18740.0,,,,,,,Mínimo: 11920.0,Diferencia: 6820.0,Promedio: 15728.3,% var: 14.0
