Date,Price,Open,High,Low,Vol,Change %
Sep 19,43800,42520,44140,41080,-,248%
Aug 19,42740,40560,44200,40080,1192M,359%
Jul 19,41260,40880,42280,40280,871M,113%
Jun 19,40800,38940,41260,38940,1166M,329%
May 19,39500,40800,41100,37540,1136M,-342%
Apr 19,40900,40200,43160,39360,985M,124%
Mar 19,40400,37120,42120,36700,1186M,884%
Feb 19,37120,34420,37520,34420,1403M,803%
Jan 19,34360,31480,34800,31220,1327M,943%
Dec 18,31400,32900,33760,29800,709M,-255%
Nov 18,32220,30600,34000,30100,922M,704%
Oct 18,30100,31220,32420,28760,1103M,-383%
Sep 18,31300,32980,33320,30260,1064M,-572%
Aug 18,33200,33220,34060,32700,1354M,000%
Jul 18,33200,35240,36680,33140,764M,-705%
Jun 18,35720,33500,35720,32740,1235M,663%
May 18,33500,33500,34620,32260,2223M,060%
Apr 18,33300,29280,34600,29080,1430M,1373%
Mar 18,29280,30040,31700,29060,1154M,-298%
Feb 18,30180,32020,33640,30180,1618M,-702%
Jan 18,32460,30000,32900,29480,1226M,849%
Dec 17,29920,29180,30140,28580,1359M,247%
Nov 17,29200,29000,29700,28020,1882M,069%
Oct 17,29000,33920,34200,28540,1995M,-1415%
Sep 17,33780,33700,35600,33280,1367M,054%
